algorithm,size,time
insertion,10,0.000000
insertion,30,0.000002
insertion,90,0.000010
insertion,270,0.000078
insertion,810,0.000564
insertion,2430,0.004617
insertion,7290,0.040285
insertion,21870,0.368810
bubble,10,0.000000
bubble,30,0.000005
bubble,90,0.000035
bubble,270,0.000227
bubble,810,0.001847
bubble,2430,0.017849
bubble,7290,0.194100
bubble,21870,1.766940
selection,10,0.000001
selection,30,0.000006
selection,90,0.000049
selection,270,0.000350
selection,810,0.002901
selection,2430,0.026486
selection,7290,0.242004
selection,21870,2.166968
